playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
rolensc,2023,BBWAA,389,292,297,Y,Player,NA
heltoto,2023,BBWAA,389,292,281,N,Player,NA
wagnebi,2023,BBWAA,389,292,265,N,Player,NA
jonesan,2023,BBWAA,389,292,226,N,Player,NA
sheffga,2023,BBWAA,389,292,214,N,Player,NA
beltrca,2023,BBWAA,389,292,181,N,Player,NA
kentje,2023,BBWAA,389,292,181,N,Player,NA
rodrial,2023,BBWAA,389,292,139,N,Player,NA
ramirma,2023,BBWAA,389,292,129,N,Player,NA
vizquom,2023,BBWAA,389,292,76,N,Player,NA
pettian,2023,BBWAA,389,292,66,N,Player,NA
breubo,2023,BBWAA,389,292,60,N,Player,NA
rolliji,2023,BBWAA,389,292,50,N,Player,NA
buehrma,2023,BBWAA,389,292,42,N,Player,NA
rodrifr,2023,BBWAA,389,292,42,N,Player,NA
hunterto,2023,BBWAA,389,292,27,N,Player,NA
streethu,2023,BBWAA,389,292,1,N,Player,NA
arroybr,2023,BBWAA,389,292,1,N,Player,NA
napolmi,2023,BBWAA,389,292,1,N,Player,NA
lackejo,2023,BBWAA,389,292,1,N,Player,NA
dickeyr,2023,BBWAA,389,292,1,N,Player,NA
peraljh,2023,BBWAA,389,292,0,N,Player,NA
ardyj,2023,BBWAA,389,292,0,N,Player,NA
ethiean,2023,BBWAA,389,292,0,N,Player,NA
ellsbja,2023,BBWAA,389,292,0,N,Player,NA
cainma,2023,BBWAA,389,292,0,N,Player,NA
weaveje,2023,BBWAA,389,292,0,N,Player,NA
werthja,2023,BBWAA,389,292,0,N,Player,NA
mcgrifr,2023,Contemporary Era,389,292,NA,Y,Player,NA
